cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
75,"['0.7955', '0.7785', '0.7229', '0.6951']","['0.5808', '0.5568', '0.3460', '0.4352']","['0.6308', '0.5577', '0.1385', '0.6501']","['0.6048', '0.5573', '0.1978', '0.5213']","['0.6308', '0.5577', '0.1385', '0.6501']","['0.8498', '0.8521', '0.9143', '0.7105']","[[1502, 413, 193, 273], [494, 1338, 124, 443], [389, 298, 328, 1353], [201, 354, 303, 1594]]",0,0
76,"['0.7919', '0.7739', '0.7247', '0.7017']","['0.5699', '0.5460', '0.3529', '0.4402']","['0.6556', '0.5644', '0.1394', '0.6187']","['0.6098', '0.5550', '0.1998', '0.5144']","['0.6556', '0.5644', '0.1394', '0.6187']","['0.8368', '0.8436', '0.9163', '0.7301']","[[1561, 415, 164, 241], [531, 1354, 123, 391], [422, 319, 330, 1297], [225, 392, 318, 1517]]",1,1
77,"['0.7976', '0.7746', '0.7243', '0.6985']","['0.5864', '0.5466', '0.3495', '0.4389']","['0.6241', '0.5748', '0.1368', '0.6472']","['0.6047', '0.5603', '0.1967', '0.5231']","['0.6241', '0.5748', '0.1368', '0.6472']","['0.8548', '0.8411', '0.9166', '0.7161']","[[1486, 436, 194, 265], [478, 1379, 118, 424], [379, 325, 324, 1340], [191, 383, 291, 1587]]",0,0
78,"['0.7968', '0.7755', '0.7226', '0.6991']","['0.5839', '0.5489', '0.3455', '0.4391']","['0.6287', '0.5711', '0.1394', '0.6419']","['0.6055', '0.5598', '0.1986', '0.5215']","['0.6287', '0.5711', '0.1394', '0.6419']","['0.8522', '0.8436', '0.9136', '0.7187']","[[1497, 428, 195, 261], [487, 1370, 125, 417], [383, 322, 330, 1333], [197, 376, 305, 1574]]",1,1
79,"['0.7949', '0.7756', '0.7217', '0.7022']","['0.5786', '0.5491', '0.3486', '0.4415']","['0.6371', '0.5715', '0.1478', '0.6260']","['0.6064', '0.5600', '0.2076', '0.5178']","['0.6371', '0.5715', '0.1478', '0.6260']","['0.8469', '0.8436', '0.9096', '0.7283']","[[1517, 427, 193, 244], [502, 1371, 133, 393], [399, 314, 350, 1305], [204, 385, 328, 1535]]",1,1
80,"['0.7995', '0.7797', '0.7216', '0.6978']","['0.5922', '0.5574', '0.3489', '0.4384']","['0.6153', '0.5744', '0.1486', '0.6517']","['0.6035', '0.5658', '0.2085', '0.5242']","['0.6153', '0.5744', '0.1486', '0.6517']","['0.8602', '0.8481', '0.9092', '0.7136']","[[1465, 425, 221, 270], [465, 1378, 130, 426], [364, 301, 352, 1351], [180, 368, 306, 1598]]",1,1
81,"['0.7996', '0.7808', '0.7205', '0.6989']","['0.5906', '0.5597', '0.3490', '0.4384']","['0.6254', '0.5765', '0.1537', '0.6374']","['0.6075', '0.5680', '0.2134', '0.5195']","['0.6254', '0.5765', '0.1537', '0.6374']","['0.8570', '0.8489', '0.9061', '0.7199']","[[1489, 422, 211, 259], [468, 1383, 134, 414], [375, 300, 364, 1329], [189, 366, 334, 1563]]",0,0
82,"['0.7955', '0.7812', '0.7211', '0.7000']","['0.5801', '0.5619', '0.3493', '0.4398']","['0.6354', '0.5657', '0.1512', '0.6370']","['0.6065', '0.5638', '0.2110', '0.5203']","['0.6354', '0.5657', '0.1512', '0.6370']","['0.8483', '0.8531', '0.9078', '0.7216']","[[1513, 411, 201, 256], [496, 1357, 133, 413], [395, 294, 358, 1321], [204, 353, 333, 1562]]",2,2
83,"['0.7945', '0.7757', '0.7240', '0.7056']","['0.5773', '0.5483', '0.3584', '0.4453']","['0.6401', '0.5823', '0.1508', '0.6203']","['0.6071', '0.5648', '0.2122', '0.5184']","['0.6401', '0.5823', '0.1508', '0.6203']","['0.8454', '0.8402', '0.9116', '0.7349']","[[1524, 428, 187, 242], [503, 1397, 126, 373], [405, 326, 357, 1280], [208, 397, 326, 1521]]",3,3
84,"['0.7936', '0.7743', '0.7260', '0.7025']","['0.5744', '0.5464', '0.3600', '0.4419']","['0.6485', '0.5698', '0.1423', '0.6260']","['0.6092', '0.5578', '0.2040', '0.5181']","['0.6485', '0.5698', '0.1423', '0.6260']","['0.8415', '0.8424', '0.9172', '0.7287']","[[1544, 419, 174, 244], [521, 1367, 114, 397], [409, 324, 337, 1298], [214, 392, 311, 1535]]",1,1
85,"['0.7947', '0.7789', '0.7214', '0.7043']","['0.5778', '0.5556', '0.3528', '0.4438']","['0.6392', '0.5744', '0.1554', '0.6232']","['0.6070', '0.5649', '0.2158', '0.5184']","['0.6392', '0.5744', '0.1554', '0.6232']","['0.8460', '0.8470', '0.9067', '0.7321']","[[1522, 419, 200, 240], [499, 1378, 132, 390], [404, 311, 368, 1285], [209, 372, 343, 1528]]",1,1
